,stock_n,year,brand,model,price,mileage,interior_color,exterior_color,drive_type,engine_size,num_cylinders,hp,comp_ratio,cam_shaft,engine_type,bore,stroke,values_per_cylinder,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,city_mpg,hw_mpg
33,16171259,2008,Ford,Edge SE,12599.0,74000,Tan,Silver,4,3.5,6,265,10:1,Dual Overhead Cam,Gas,3.6,3.4,0.0,111.2,185.7,75.0,67.0,4098,40.7,40.0,5,70.0,15,22
34,16170829,2014,Ford,Escape SE,16998.0,19000,Gray,Red,2,1.6,4,178,10:1,Variable Timing DOHC,Turbo Gas,3.11,3.2,4.0,105.9,178.1,72.0,66.0,3515,43.1,39.9,5,34.0,23,32
35,16238509,2018,Ford,Escape SEL,23998.0,21000,Tan,White,4,1.5,4,179,10.00,Variable Timing,Turbo Gas,3.11,3.0,4.0,105.9,178.1,75.0,66.3,3678,43.1,39.9,5,34.0,22,28
36,16238213,2015,Ford,Explorer Limited,28998.0,18000,Black,Silver,2,3.5,6,290,11:1,Variable Timing DOHC,Ethanol/Gas,3.64,3.41,4.0,112.6,197.1,78.0,70.0,4534,43.1,41.4,7,21.0,17,24
37,16418320,2015,Ford,Explorer Limited,24998.0,44000,Black,Black,2,3.5,6,290,11:1,Variable Timing DOHC,Ethanol/Gas,3.64,3.41,4.0,112.6,197.1,78.0,70.0,4534,43.1,41.4,7,21.0,17,24
38,16568246,2018,Ford,Explorer Sport,36998.0,26000,Black,Silver,4,3.5,6,365,10.00,Variable Timing,Turbo Gas,3.64,3.41,4.0,112.8,198.3,78.9,71.0,4901,42.9,41.4,7,21.0,16,22
39,15915383,2010,Honda,Pilot EX,14998.0,105000,Gray,Burgundy,2,3.5,6,250,11:1,Single Overhead Cam,Gas,3.5,3.66,4.0,109.2,190.9,78.0,72.0,4310,41.4,40.0,8,87.0,17,23
40,16250561,2010,Hyundai,Elantra GLS,9998.0,85000,Gray,Gray,2,2.0,4,138,10:1,Dual Overhead Cam,Gas,3.23,3.68,4.0,104.3,177.4,69.0,58.0,2747,43.5,40.0,5,14.0,26,34
41,16324381,2016,Hyundai,Elantra GT,12998.0,37000,Black,Silver,2,2.0,4,173,12:1,Variable Timing,Gas,3.19,3.82,4.0,104.3,169.3,70.0,57.0,2851,42.0,40.1,5,23.0,24,32
42,16416742,2016,Hyundai,Elantra GT,13998.0,12000,Black,Silver,2,2.0,4,173,12:1,Variable Timing,Gas,3.19,3.82,4.0,104.3,169.3,70.0,57.0,2851,42.0,40.1,5,23.0,24,32
43,16250548,2015,Hyundai,Elantra SE,11998.0,58000,Tan,White,2,1.8,4,145,10:1,Variable Timing DOHC,Gas,3.19,3.43,4.0,106.3,179.1,69.0,56.0,2818,43.6,40.0,5,15.0,28,38
44,16217698,2016,Hyundai,Elantra Value Edition,13599.0,39000,Black,Red,2,1.8,4,145,10:1,Variable Timing,Gas,3.19,3.43,4.0,106.3,179.1,69.0,56.0,2818,43.6,40.0,5,15.0,28,37
45,16238040,2016,Hyundai,Genesis,26998.0,17000,Tan,Black,2,3.8,6,311,12:1,Variable Timing,Gas,3.78,3.43,4.0,118.5,196.5,74.0,58.0,4138,45.7,41.1,5,15.0,18,28
46,16238502,2010,Hyundai,Santa Fe Limited,14599.0,54000,Black,Blue,2,2.4,4,175,11:1,Dual Overhead Cam,Gas,3.46,3.82,4.0,106.3,184.1,74.0,67.0,3968,42.6,40.2,5,78.0,20,28
47,16348446,2016,Hyundai,Santa Fe Sport,18998.0,33000,Gray,White,4,2.4,4,190,11:1,Variable Timing,Gas,3.46,3.82,4.0,106.3,184.6,74.0,66.0,3616,41.3,39.6,5,35.0,19,25
48,16593119,2015,Hyundai,Sonata SE,15998.0,14000,Gray,Silver,2,2.4,4,185,11:1,Variable Timing DOHC,Gas,3.46,3.82,4.0,110.4,191.1,73.0,58.0,3245,45.5,40.4,5,16.0,25,37
49,16568103,2015,Hyundai,Tucson Limited,17998.0,35000,Black,Silver,4,2.4,4,182,11:1,Variable Timing DOHC,Gas,3.46,3.82,4.0,103.9,173.2,71.0,66.0,3439,41.2,39.4,5,26.0,20,25
50,16238694,2017,Hyundai,Tucson SE,21998.0,5000,Gray,Silver,4,2.0,4,164,11.50,Variable Timing,Gas,3.19,3.82,4.0,105.1,176.2,72.8,64.8,3490,41.5,39.6,5,31.0,21,26
51,16237571,2012,Hyundai,Veloster,9998.0,77000,Black,Blue,2,1.6,4,138,11:1,Dual Overhead Cam,Gas,3.03,3.36,4.0,104.3,166.1,70.0,55.0,2584,43.9,39.0,4,16.0,27,37
52,16238496,2016,Hyundai,Veloster,14998.0,23000,Black,Silver,2,1.6,4,132,11:1,Variable Timing DOHC,Gas,3.03,3.36,4.0,104.3,166.1,70.0,55.0,2657,43.9,39.0,4,16.0,28,35
53,16036152,2011,Infiniti,G37,18998.0,95000,Black,Black,2,3.7,6,325,11:1,Dual Overhead Cam,Gas,3.76,3.39,4.0,112.2,183.3,,55.0,4078,43.9,39.4,4,10.0,17,25
54,16568061,2015,Infiniti,Q40,18998.0,35000,Black,Silver,4,3.7,6,328,11:1,Variable Timing DOHC,Gas,3.76,3.39,4.0,112.2,187.9,69.0,57.0,3822,43.9,39.1,5,14.0,18,25
55,16257195,2016,Infiniti,Q50 Premium,21599.0,33000,Black,Black,2,2.0,4,208,9.8:1,Variable Timing,Turbo Gas,3.27,3.62,4.0,112.2,188.3,71.0,56.0,3795,44.5,39.5,5,13.0,23,31
56,16237897,2015,Ford,F150 Lariat,41998.0,23000,Black,Green,4,5.0,8,385,11:1,Variable Timing DOHC,Ethanol/Gas,3.63,3.65,4.0,156.8,243.7,79.0,76.0,5716,43.9,40.8,6,,15,21
57,16250514,2014,Infiniti,QX50 Journey,23599.0,31000,Black,Black,4,3.7,6,325,11:1,Variable Timing DOHC,Gas,3.76,3.39,4.0,110.2,182.3,71.0,61.0,4017,44.3,38.7,5,19.0,17,24
58,16238247,2015,Infiniti,QX60,26998.0,47000,Black,Blue,4,3.5,6,265,10:1,Variable Timing,Gas,3.76,3.2,4.0,114.2,196.4,77.0,68.0,4462,42.3,40.7,7,16.0,19,26
59,16446424,2017,Infiniti,QX60,30998.0,29000,Black,Blue,4,3.5,6,295,11.00,Variable Timing,Gas,3.78,3.19,4.0,114.2,200.1,77.2,68.6,4515,42.3,40.7,7,15.8,19,26
