,stock_n,mileage,interior_color,exterior_color,drive_type,engine_size,num_cylinders,hp,torque,comp_ratio,cam_shaft,engine_type,bore,stroke,values_per_cylinder,fuel_cap,epa_mpg,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,tow_cap,pay_cap,gross,tire,trans
14,16237640,19K,Black,Red,4WDWD,2.0L engine,4 cylinders,240 horsepower@5000rpm,255 torque@1250rpm,10:1,Variable Timing DOHC,Turbo Gas,3.31,3.55,4,N/A,22/33,"110.6""","182.1""",71,56,3595 lbs.,"42.0""","40.3""",5/5,17 cu. ft.,N/A,N/A,N/R,N/A,N/A
15,16238419,39K,Tan,Black,4WDWD,4.4L engine,8 cylinders,555 horsepower@6000rpm,500 torque@1500rpm,9.3:1,Variable Timing DOHC,Turbo Gas,3.50,3.48,4,N/A,13/17,"115.5""","192.0""",78,66,5324 lbs.,"40.4""","38.3""",4/5,26 cu. ft.,6000 lbs.,937 lbs.,6261 lbs.,N/A,N/A
16,16451010,28K,Black,Silver,2WDWD,3.6L engine,6 cylinders,303 horsepower@6800rpm,251 torque@4900rpm,11:1,Variable Timing,Ethanol/Gas,3.70,3.37,4,N/A,18/28,"111.7""","196.9""",73,59,3770 lbs.,"41.7""","38.0""",5/5,11 cu. ft.,N/A,N/A,N/R,N/A,N/A
17,14963460,13K,Black,Gray,4WDWD,6.2L engine,8 cylinders,420 horsepower@5600rpm,460 torque@4100rpm,12:1,Variable Timing OHC,Gas,4.07,3.62,2,N/A,15/21,"116.0""","203.9""",80,74,5840 lbs.,"45.3""","39.7""",7/7,15 cu. ft.,2000/8100 lbs.,1460 lbs.,7300 lbs.,N/A,N/A
18,16039102,35K,Gray,Silver,2WDWD,3.6L engine,6 cylinders,305 horsepower@6800rpm,N/A,11.50,Variable Timing,Gas,3.70,3.37,4,N/A,18/28,111.7'',202.0'',72.9'',59.1'',4006 lbs.,42.1'',39.0'',5/5,18.0 cu. ft.,N/A,N/A,N/A,N/A,N/A
19,15660875,25K,Black,Red,2WDWD,3.6L engine,6 cylinders,323 horsepower@6800rpm,278 torque@4800rpm,12:1,Variable Timing DOHC,Gas,3.70,3.37,4,N/A,17/28,"112.3""","190.6""",75,54,3719 lbs.,"42.4""","37.4""",4/4,11 cu. ft.,N/A,N/A,N/R,N/A,N/A
20,16171348,30K,Black,Silver,4WDWD,3.6L engine,6 cylinders,305 horsepower@6800rpm,269 torque@4000rpm,12:1,Variable Timing,Gas,3.70,3.37,4,N/A,17/24,"128.3""","212.7""",74,70,4380 lbs.,"45.0""","41.4""",5/5,N/R,7000 lbs.,1580 lbs.,6000 lbs.,N/A,N/A
21,16238689,79K,Black,Black,2WDWD,2.4L engine,4 cylinders,175 horsepower@6200rpm,125 torque@4000rpm,10:1,Dual Overhead Cam,Gas,0,0,4,16.20,19/28,"103.5""","176.2""",69,63,3155 lbs.,"40.6""","39.6""",5/5,63 cu. ft.,1000 lbs.,N/A,N/R,N/A,N/A
22,16568249,32K,Gray,Black,2WDWD,2.5L engine,4 cylinders,196 horsepower@6300rpm,186 torque@4400rpm,11:1,Variable Timing DOHC,Gas,3.46,3.98,4,N/A,22/31,"111.7""","201.3""",73,58,3730 lbs.,"45.8""","39.9""",5/5,19 cu. ft.,N/A,N/A,N/R,N/A,N/A
23,16171123,53K,Black,White,2WDWD,3.6L engine,6 cylinders,303 horsepower@6800rpm,N/A,N/A,Dual Overhead Cam,Gas,3.70,3.37,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,16451019,55K,Gray,White,2WDWD,2.5L engine,4 cylinders,196 horsepower@6300rpm,191 torque@4400rpm,11:1,Variable Timing DOHC,Gas,3.46,3.98,4,N/A,25/36,"107.8""","191.5""",73,57,3393 lbs.,"42.1""","39.0""",5/5,16 cu. ft.,N/A,N/A,N/R,N/A,N/A
25,16238226,33K,Black,Gray,2WDWD,1.5L engine,4 cylinders,160 horsepower@5700rpm,N/A,10.00,Variable Timing,Turbo Gas,2.91,3.41,4,N/A,27/36,111.4'',193.8'',73.0'',57.6'',3126 lbs.,42.0'',39.1'',5/5,15.8 cu. ft.,N/A,N/A,N/A,N/A,N/A
26,16257433,39K,Black,Silver,2WDWD,1.5L engine,4 cylinders,160 horsepower@5700rpm,N/A,10.00,Variable Timing,Turbo Gas,2.91,3.41,4,N/A,27/36,111.4'',193.8'',73.0'',57.6'',3126 lbs.,42.0'',39.1'',5/5,15.8 cu. ft.,N/A,N/A,N/A,N/A,N/A
27,15325981,60K,Black,Blue,2WDWD,1.4L engine,4 cylinders,138 horsepower@4900rpm,148 torque@2500rpm,9.5:1,Variable Timing DOHC,Turbo Gas,2.85,3.25,4,N/A,27/34,"99.4""","159.0""",68,59,2811 lbs.,"41.8""","38.7""",5/5,19 cu. ft.,N/A,N/A,N/R,N/A,N/A
28,16171002,39K,Gray,Green,2WDWD,1.2L engine,4 cylinders,84 horsepower@6400rpm,83 torque@4200rpm,11:1,Variable Timing DOHC,Gas,2.78,3.15,4,N/A,31/39,"93.5""","144.7""",62,61,2269 lbs.,"42.0""","39.4""",4/4,11 cu. ft.,N/A,N/A,N/R,N/A,N/A
29,16238080,14K,Black,Red,2WDWD,1.4L engine,4 cylinders,98 horsepower@6200rpm,94 torque@4400rpm,11:1,Variable Timing,Gas,2.91,3.20,4,N/A,31/40,"93.9""","143.1""",62,58,2312 lbs.,"41.7""","39.0""",4/4,11 cu. ft.,N/A,N/A,N/R,N/A,N/A
