,stock_n,mileage,interior_color,exterior_color,drive_type,engine_size,num_cylinders,hp,torque,comp_ratio,cam_shaft,engine_type,bore,stroke,values_per_cylinder,fuel_cap,epa_mpg,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,tow_cap,pay_cap,gross,tire,trans
43,15777790,68K,Tan,Brown,4WDWD,3.5L engine,6 cylinders,290 horsepower@6500rpm,255 torque@4000rpm,11:1,Variable Timing DOHC,Ethanol/Gas,3.64,3.41,4,N/A,17/23,"112.6""","197.1""",78,71,4697 lbs.,"43.1""","41.4""",7/6,21 cu. ft.,5000 lbs.,1500 lbs.,N/R,N/A,N/A
44,16237659,37K,Gray,White,4WDWD,3.5L engine,6 cylinders,365 horsepower@5000rpm,380 torque@4250rpm,11:1,Variable Timing DOHC,Turbo Gas,3.64,3.41,4,N/A,15/21,"144.5""","231.7""",78,76,5586 lbs.,"41.4""","41.0""",6/5,N/R,2000/11200 lbs.,1764 lbs.,7350 lbs.,N/A,N/A
45,16328068,40K,Gray,Silver,4WDWD,3.5L engine,6 cylinders,283 horsepower@6500rpm,N/A,10.80,Variable Timing,Ethanol/Gas,3.64,3.45,4,N/A,17/23,145.0'',231.9'',79.9'',77.2'',4780 lbs.,43.9'',40.8'',6/5,N/A,1500/11500 lbs.,1570 lbs.,6350 lbs.,N/A,N/A
46,16005377,37K,Gray,Silver,2WDWD,1.6L engine,4 cylinders,120 horsepower@6350rpm,112 torque@5000rpm,11:1,Variable Timing,Gas,3.11,3.20,4,N/A,27/35,"98.0""","173.6""",67,58,2578 lbs.,"42.2""","39.1""",5/5,13 cu. ft.,N/A,N/A,N/R,N/A,N/A
47,15660709,51K,Black,Black,2WDWD,1.6L engine,4 cylinders,197 horsepower@6000rpm,202 torque@4200rpm,10:1,Variable Timing DOHC,Turbo Gas,3.11,3.20,4,N/A,26/35,"98.0""","160.1""",67,57,2720 lbs.,"42.2""","39.1""",5/5,10 cu. ft.,N/A,N/A,N/R,N/A,N/A
48,16005271,63K,Gray,Black,2WDWD,1.6L engine,4 cylinders,197 horsepower@6350rpm,N/A,N/A,Variable Timing DOHC,Turbo Gas,3.11,3.20,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49,16568182,7K,Gray,White,2WDWD,2.5L engine,4 cylinders,200 horsepower@6300rpm,N/A,11.30,Variable Timing,Gas,3.46,3.98,4,N/A,20/26,128.3'',212.7'',74.3'',70.4'',3960 lbs.,45.0'',41.4'',4/2,N/A,7000/7000 lbs.,1410 lbs.,5400 lbs.,N/A,N/A
50,15777459,11K,Black,Red,4WDWD,3.6L engine,6 cylinders,308 horsepower@6800rpm,N/A,11.50,Variable Timing,Gas,3.70,3.37,4,N/A,17/24,128.3'',212.7'',74.3'',70.6'',4380 lbs.,45.0'',41.4'',5/5,N/A,7000/7000 lbs.,1621 lbs.,6000 lbs.,N/A,N/A
51,16070626,45K,Black,Gray,2WDWD,6.2L engine,8 cylinders,430 horsepower@5900rpm,424 torque@4600rpm,11:1,Overhead Valve,Gas,4.06,3.62,0,N/A,15/25,"105.7""","175.6""",72,48,3311 lbs.,"43.1""","37.7""",2/2,22 cu. ft.,N/A,N/A,N/R,N/A,6-Speed Automatic
52,16451008,9K,Black,Silver,2WDWD,1.4L engine,4 cylinders,153 horsepower@5600rpm,N/A,10.00,Variable Timing,Turbo Gas,2.91,3.20,4,N/A,29/40,106.3'',183.7'',70.5'',57.4'',2870 lbs.,42.0'',38.9'',5/5,22.7 cu. ft.,N/A,N/A,N/A,N/A,N/A
53,16238466,30K,Black,Blue,2WDWD,1.4L engine,4 cylinders,138 horsepower@4900rpm,148 torque@2500rpm,9.5:1,Variable Timing DOHC,Turbo Gas,2.85,3.25,4,N/A,26/38,"105.7""","181.0""",70,58,3102 lbs.,"42.3""","39.3""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
54,16238674,48K,Black,Gold,2WDWD,1.4L engine,4 cylinders,138 horsepower@4900rpm,148 torque@1850rpm,9.5:1,Variable Timing DOHC,Turbo Gas,2.85,3.25,4,N/A,26/38,"105.7""","181.0""",70,58,3126 lbs.,"42.3""","39.3""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
55,16385123,10K,Black,Blue,2WDWD,1.4L engine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56,16497370,34K,Black,Red,2WDWD,2.3L engine,4 cylinders,310 horsepower@5500rpm,N/A,9.50,Variable Timing,Turbo Gas,3.45,3.70,4,N/A,21/30,107.1'',188.3'',75.4'',54.4'',3532 lbs.,44.5'',37.6'',4/4,13.5 cu. ft.,N/A,N/A,N/A,N/A,N/A
57,16409962,30K,Black,White,2WDWD,5.0L engine,8 cylinders,435 horsepower@6500rpm,N/A,11.00,Variable Timing,Gas,3.63,3.65,4,N/A,15/25,107.1'',188.3'',75.4'',54.4'',3705 lbs.,44.5'',37.6'',4/4,13.5 cu. ft.,N/A,N/A,N/A,N/A,N/A
58,16005233,15K,Black,Yellow,2WDWD,5.2L engine,8 cylinders,526 horsepower@7500rpm,429 torque@4750rpm,12:1,Variable Timing,Gas,3.70,3.66,4,N/A,14/21,"107.1""","188.9""",75,54,3760 lbs.,"44.5""","37.6""",4/4,14 cu. ft.,N/A,N/A,N/R,N/A,N/A
59,16005243,85K,Tan,Silver,2WDWD,3.7L engine,6 cylinders,305 horsepower@6500rpm,280 torque@4250rpm,11:1,Dual Overhead Cam,Gas,3.76,3.41,4,N/A,19/31,"107.1""","188.1""",73,55,3453 lbs.,"42.4""","38.5""",4/4,13 cu. ft.,1000 lbs.,N/A,N/R,N/A,N/A
60,16238269,21K,Black,Silver,2WDWD,3.7L engine,6 cylinders,270 horsepower@6500rpm,250 torque@4000rpm,11:1,Variable Timing,Gas,3.76,3.41,4,N/A,11/16,"147.6""","237.6""",81,110,6124 lbs.,N/R,N/R,12/15,107 cu. ft.,N/A,2810 lbs.,9000 lbs.,N/A,N/A
61,15777865,7K,Black,Gray,4WDWD,5.3L engine,8 cylinders,355 horsepower@5600rpm,N/A,11.00,Variable Timing,Gas,3.78,3.62,2,N/A,16/22,153.0'',239.0'',80.0'',73.8'',5484 lbs.,45.3'',42.8'',6/5,N/A,2000/11800 lbs.,1710 lbs.,7200 lbs.,N/A,N/A
62,15573743,57K,Black,Gray,4WDWD,3.6L engine,6 cylinders,301 horsepower@6500rpm,172 torque@4900rpm,11:1,Variable Timing DOHC,Gas,3.70,3.37,4,N/A,16/23,"112.5""","185.3""",72,66,4049 lbs.,"41.2""","40.4""",5/5,32 cu. ft.,1500/3500 lbs.,1021 lbs.,5070 lbs.,N/A,N/A
63,16451096,55K,Black,Silver,2WDWD,2.4L engine,4 cylinders,182 horsepower@6700rpm,172 torque@4900rpm,11:1,Variable Timing DOHC,Ethanol/Gas,3.46,3.86,4,N/A,22/32,"112.5""","185.3""",72,66,3867 lbs.,"41.2""","39.8""",5/5,32 cu. ft.,1500/3500 lbs.,1093 lbs.,4960 lbs.,N/A,N/A
64,15325846,72K,Black,White,4WDWD,2.4L engine,4 cylinders,182 horsepower@6700rpm,172 torque@4900rpm,11:1,Dual Overhead Cam,Gas,3.46,3.85,0,N/A,20/29,"112.5""","185.3""",N/R,66,4034 lbs.,"41.2""","39.8""",5/5,64 cu. ft.,3500 lbs.,1162 lbs.,5070 lbs.,N/A,5-Speed Manual
65,16250415,11K,Black,Black,2WDWD,2.4L engine,4 cylinders,185 horsepower@6400rpm,N/A,11.10,Variable Timing,Gas,3.43,3.90,4,N/A,27/36,107.3'',189.5'',73.0'',56.5'',3342 lbs.,42.2'',37.2'',5/5,13.4 cu. ft.,N/A,N/A,N/A,N/A,N/A
66,16338431,84K,Black,Silver,2WDWD,3.5L engine,6 cylinders,271 horsepower@6000rpm,254 torque@5000rpm,11:1,Single Overhead Cam,Gas,3.50,3.66,4,N/A,19/29,"107.9""","191.0""",N/R,56,3543 lbs.,"42.2""","37.4""",5/5,12 cu. ft.,1000 lbs.,850 lbs.,4541 lbs.,N/A,6-Speed Automatic
67,16005669,5K,Black,Blue,2WDWD,2.4L engine,4 cylinders,185 horsepower@6400rpm,N/A,11.10,Variable Timing,Gas,3.43,3.90,4,N/A,27/36,107.3'',189.5'',73.0'',56.5'',3248 lbs.,42.2'',39.0'',5/5,13.7 cu. ft.,N/A,N/A,N/A,N/A,N/A
68,16238292,40K,Black,Red,2WDWD,2.4L engine,4 cylinders,189 horsepower@6400rpm,182 torque@3900rpm,11:1,Variable Timing DOHC,Gas,3.43,3.90,4,N/A,27/36,"109.3""","191.4""",72,57,3342 lbs.,"42.5""","39.1""",5/5,16 cu. ft.,N/A,N/A,N/R,N/A,N/A
69,16238355,21K,Black,Black,2WDWD,2.4L engine,4 cylinders,189 horsepower@6400rpm,N/A,11.10,Variable Timing,Gas,3.43,3.90,4,N/A,27/36,109.3'',192.5'',72.8'',57.7'',3369 lbs.,42.5'',39.1'',5/5,15.8 cu. ft.,N/A,N/A,N/A,N/A,N/A
70,16238739,23K,Tan,Blue,2WDWD,2.0L engine,4 cylinders,212 horsepower@6200rpm,N/A,13.00,Variable Timing,Gas/Electric,3.19,3.81,4,N/A,49/47,109.3'',194.1'',72.8'',57.5'',3550 lbs.,42.5'',39.5'',5/5,13.5 cu. ft.,N/A,N/A,N/A,N/A,N/A
71,16338977,54K,Gray,Gray,2WDWD,1.8L engine,4 cylinders,140 horsepower@6500rpm,128 torque@4300rpm,11:1,Single Overhead Cam,Gas,3.19,3.44,4,N/A,28/39,"105.1""","177.3""",N/R,56,2773 lbs.,"42.0""","37.9""",5/5,13 cu. ft.,N/A,850 lbs.,N/R,N/A,4-Speed Automatic
72,15416530,6K,n/a,Blue,2WDWD,1.5L engine,4 cylinders,174 horsepower@6000rpm,N/A,10.60,Variable Timing,Turbo Gas,2.87,3.52,4,N/A,32/42,106.3'',182.3'',70.8'',55.7'',2899 lbs.,42.3'',37.5'',5/5,15.1 cu. ft.,N/A,N/A,N/A,N/A,N/A
73,16004371,14K,Gray,Silver,2WDWD,1.5L engine,4 cylinders,174 horsepower@6000rpm,162 torque@1700rpm,11:1,Variable Timing,Turbo Gas,2.87,3.52,4,N/A,31/41,"106.3""","176.9""",70,54,2889 lbs.,"42.3""","36.5""",5/5,12 cu. ft.,N/A,N/A,N/R,N/A,N/A
74,16338849,18K,Black,Silver,2WDWD,1.5L engine,4 cylinders,174 horsepower@6000rpm,N/A,10.60,Variable Timing,Turbo Gas,2.87,3.52,4,N/A,31/40,106.3'',177.9'',70.8'',56.5'',2751 lbs.,42.3'',39.3'',5/5,25.7 cu. ft.,N/A,N/A,N/A,N/A,N/A
75,16338883,35K,Tan,Black,2WDWD,1.5L engine,4 cylinders,174 horsepower@6000rpm,162 torque@1700rpm,11:1,Variable Timing,Turbo Gas,2.87,3.52,4,N/A,31/42,"106.3""","182.3""",70,55,2923 lbs.,"42.3""","37.5""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
