,stock_n,year,brand,model,price
352,16238710,2016,GMC,Yukon SLE,36998.0
353,16171447,2017,GMC,Yukon XL 1500 SLT,45998.0
354,16238675,2017,Honda,Accord EX-L,22998.0
355,16568183,2015,Honda,Civic EX,15599.0
356,16171695,2015,Honda,Civic LX,13998.0
357,16238726,2017,Honda,HR-V EX-L,24998.0
358,16250892,2011,Honda,Odyssey EX-L,17599.0
359,16327696,2015,Honda,Odyssey EX-L,27998.0
360,16171617,2009,Honda,Pilot EX-L,13998.0
361,16568210,2016,Honda,Pilot Touring,33998.0
362,16598315,2017,Hyundai,Accent SE,11998.0
363,16598316,2017,Hyundai,Accent SE,12599.0
364,16597989,2016,Hyundai,Elantra GT,12998.0
365,16237866,2017,Hyundai,Elantra SE,15599.0
366,16568445,2015,Hyundai,Elantra SE,13998.0
367,16568446,2016,Hyundai,Elantra SE,12998.0
368,16238095,2012,Hyundai,Santa Fe GLS,15599.0
369,16250796,2013,Hyundai,Sonata GLS,11998.0
370,16328258,2017,Hyundai,Sonata,14998.0
371,16238157,2013,Hyundai,Sonata Hybrid Limited,14998.0
372,16568127,2015,Hyundai,Tucson SE,16998.0
373,16250644,2011,Infiniti,G37 Journey,15998.0
374,16568617,2017,Infiniti,Q50 Premium,30998.0
375,16568064,2015,Infiniti,Q50 S,31998.0
376,16171674,2014,Infiniti,QX50 Journey,22998.0
377,16250856,2014,Infiniti,QX50 Journey,21998.0
378,16327953,2017,Infiniti,QX80,46998.0
379,16568358,2018,Jeep,Cherokee Trailhawk,27998.0
380,16250615,2017,Jeep,Patriot Sport,14998.0
381,16568467,2016,Jeep,Patriot Sport,15599.0
382,15908187,2015,Jeep,Renegade Latitude,15998.0
383,16568111,2016,Jeep,Wrangler Sahara,26998.0
384,16250468,2015,Jeep,Wrangler Unlimited Altitude,35998.0
385,16568427,2013,Jeep,Wrangler Unlimited Sahara,26998.0
386,16237690,2015,Jeep,Wrangler Unlimited Sport,30998.0
387,16568376,2017,Jeep,Wrangler Unlimited Sport,30998.0
388,16171679,2015,Kia,Forte LX,11998.0
389,16238769,2017,Kia,Forte LX,13998.0
390,16250589,2016,Kia,Sedona L,18998.0
391,16568340,2016,Kia,Sedona LX,19998.0
392,16327598,2015,Kia,Soul,12998.0
393,16250227,2009,Kia,Sportage LX,8998.0
394,16568327,2015,Land,Rover Discovery Sport SE,26998.0
395,15777891,2012,Lexus,CT 200h Premium,15998.0
396,16440525,2015,Lexus,CT 200h,20998.0
397,16238623,2011,Lexus,ES 350,18599.0
398,16327902,2015,Lexus,ES 350,22599.0
399,16450996,2016,Lexus,GX 460,39998.0
400,16250884,2016,Lexus,IS 200t,26998.0
401,16238649,2008,Lexus,IS 250,12998.0
402,16237439,2014,Lexus,LS 460,44998.0
403,16450985,2015,Lexus,NX 200t,29998.0
404,16450998,2015,Lexus,RX 350 F-SPORT,32998.0
405,16250508,2017,Mazda,CX-5 Grand Select,29998.0
406,16568284,2017,Mazda,CX-5 Grand Touring,29998.0
407,16250232,2010,Mazda,CX-7 i Sport,9998.0
408,16568311,2017,Mazda,CX-9 Signature,33998.0
409,16250798,2016,Mazda,Mazda3 i Sport,15998.0
410,16568329,2016,Mazda,Mazda3 i Sport,14998.0
411,16568292,2014,Mazda,Mazda6 I Touring,13998.0
