,stock_n,year,brand,model,price
919,16568216,2016,Hyundai,Sonata SE,13998.0
920,16593751,2015,Hyundai,Sonata SE,13998.0
921,16568217,2012,Hyundai,Sonata Hybrid,13998.0
922,16237361,2014,Hyundai,Tucson Limited,18998.0
923,15660721,2017,Hyundai,Tucson SE Plus,23998.0
924,15908458,2017,Hyundai,Tucson Value,23998.0
925,16238599,2015,Hyundai,Veloster RE:FLEX Edition,14998.0
926,16416851,2015,Hyundai,Veloster Turbo,17998.0
927,15908311,2016,Hyundai,Veloster,12998.0
928,16238658,2013,Infiniti,G37 X,19599.0
929,15326109,2013,Infiniti,JX35,22998.0
930,15908402,2015,Infiniti,Q50 Premium,26998.0
931,15424432,2014,Infiniti,QX60,28998.0
932,15908976,2014,Infiniti,QX60 Hybrid,29998.0
933,16004276,2014,Infiniti,QX80,36998.0
934,15908440,2016,Jaguar,XF Premium,27998.0
935,16238491,2017,Jeep,Cherokee Latitude,20998.0
936,16568158,2016,Jeep,Cherokee Sport,17998.0
937,16327960,2016,Jeep,Patriot High Altitude,16998.0
938,16250274,2015,Jeep,Renegade Latitude,16998.0
939,16238314,2017,Jeep,Renegade Sport,16998.0
940,16238828,2016,Jeep,Wrangler Sport,24998.0
941,16102692,2014,Jeep,Wrangler Unlimited Rubicon,31998.0
942,16249908,2008,Jeep,Wrangler Unlimited Sahara,20998.0
943,16327532,2015,Kia,Optima LX,13998.0
944,15908041,2015,Kia,Sedona SX,23998.0
945,16327596,2018,Kia,Sorento LX,24998.0
946,15908878,2013,Kia,Soul,10599.0
947,16338739,2012,Kia,Soul,8998.0
948,16171255,2012,Kia,Sportage LX,11998.0
949,16301745,2015,Land,Rover Range Rover Sport HSE,43998.0
950,15574585,2008,Lexus,ES 350,12998.0
951,16004880,2013,Lexus,GS 350,24998.0
952,15914831,2016,Lexus,GX 460 Luxury,44998.0
953,16439877,2015,Lexus,IS 250,24998.0
954,16250636,2011,Lexus,RX 350,20998.0
955,16250077,2014,Lincoln,MKZ,14998.0
956,16171587,2016,Mazda,CX-3 Grand Touring,22998.0
957,16568310,2017,Mazda,CX-5 Grand Select,28998.0
958,15908619,2016,Mazda,CX-5 Grand Touring,23998.0
959,16078072,2016,Mazda,CX-5 Grand Touring,24998.0
960,16171235,2008,Mazda,Mazda3 I,9599.0
961,16327619,2016,Mazda,Mazda6 I Grand Touring,23599.0
962,16171446,2014,Mazda,Mazda6 i Sport,14998.0
963,16238458,2015,Mazda,MX-5 Miata Club,19998.0
964,15908899,2015,Mercedes-Benz,C300,24998.0
965,16238814,2015,Mercedes-Benz,C300,20998.0
966,16041772,2015,Mercedes-Benz,CLA250,21998.0
967,16341846,2017,Mercedes-Benz,CLA250,27998.0
968,15903130,2016,Mercedes-Benz,GLE350,35998.0
969,16094658,2016,Mercedes-Benz,GLE350,33998.0
970,16250163,2013,Mercedes-Benz,GLK350,24998.0
971,16250234,2014,Mercedes-Benz,GLK350,23998.0
972,16004383,2013,Mini,Cooper S,14599.0
973,16568306,2015,Mini,Cooper Hardtop S,17998.0
974,16238677,2015,Mitsubishi,Mirage DE,9998.0
975,15325983,2011,Nissan,Altima S,8998.0
976,16238183,2015,Nissan,Altima S,14998.0
977,16176229,2017,Nissan,Altima SR,19998.0
978,16238221,2017,Nissan,Frontier S,17998.0
979,15670604,2015,Nissan,Frontier SV,18998.0
980,16238724,2013,Nissan,Juke Nismo,15998.0
981,16250313,2014,Nissan,Leaf S,10998.0
982,16250475,2013,Nissan,Leaf S,9998.0
983,16238845,2014,Nissan,Maxima SV,18998.0
984,16238682,2015,Nissan,Murano Platinum,27998.0
985,16327626,2016,Nissan,Murano S,20998.0
