,stock_n,year,brand,model,price
76,16250130,2016,Chevrolet,Trax LS,14998.0
77,16421065,2015,Chevrolet,Volt,16599.0
78,16237594,2015,Chrysler,200 Limited,12998.0
79,16250208,2015,Chrysler,200 Limited,13998.0
80,16338495,2015,Chrysler,200 Limited,12599.0
81,15660943,2016,Dodge,Challenger R/T Scat Pack,35998.0
82,16257029,2013,Dodge,Dart Aero,9998.0
83,16250436,2015,Dodge,Dart GT,14998.0
84,16171269,2017,Dodge,Durango SXT,27998.0
85,16238712,2013,Dodge,Journey SE,14998.0
86,16418170,2015,Dodge,Ram 1500 Sport,31998.0
87,16237691,2015,Dodge,Ram 1500 Tradesman,16998.0
88,16250279,2017,Fiat,124 Spider Classica,20998.0
89,16237396,2013,Fiat,500 Pop,8998.0
90,16238636,2013,Fiat,500 Sport,9998.0
91,15660974,2016,Ford,C-Max SEL,17998.0
92,16237883,2014,Ford,C-Max SEL,14998.0
93,16237966,2011,Ford,Edge Limited,18599.0
94,16171259,2008,Ford,Edge SE,12599.0
95,16170829,2014,Ford,Escape SE,16998.0
96,16238509,2018,Ford,Escape SEL,23998.0
97,16238213,2015,Ford,Explorer Limited,28998.0
98,16418320,2015,Ford,Explorer Limited,24998.0
99,16568246,2018,Ford,Explorer Sport,36998.0
100,16568245,2016,Acura,ILX,19998.0
101,16237784,2014,Audi,A5 Premium Plus,23599.0
102,16238238,2013,Audi,Q5 Premium Plus,26998.0
103,15411470,2013,Audi,RS5,41998.0
104,15660515,2011,Audi,TTS Prestige,22998.0
105,16238171,2015,BMW,320 XI,20998.0
106,16261191,2016,BMW,428 I,28998.0
107,14366077,2014,BMW,535 d,22599.0
108,16156147,2015,BMW,750 I,37998.0
109,15952558,2015,BMW,X4 XDrive35i,34998.0
110,16238577,2012,Cadillac,CTS Luxury,16998.0
111,16237838,2017,Chevrolet,Camaro LT,25998.0
112,15594791,2012,Chevrolet,Captiva Sport LT,10599.0
113,16250158,2016,Chevrolet,Colorado Work Truck,18998.0
114,16237569,2014,Chevrolet,Cruze Diesel,13599.0
115,15880016,2012,Chevrolet,Equinox LS,13998.0
116,16238032,2016,Chevrolet,Equinox LT,18998.0
117,16171434,2014,Chevrolet,Impala LT,18998.0
118,16568203,2015,Chevrolet,Malibu LS,13599.0
119,16593493,2016,Chevrolet,Malibu LS,15998.0
120,16238159,2015,Chevrolet,Sonic LT,10998.0
121,16171364,2014,Chevrolet,Spark LS,8998.0
122,16568253,2016,Chevrolet,Suburban 1500 LTZ,48998.0
123,16238414,2017,Chevrolet,Tahoe LT,42998.0
124,16237779,2016,Chevrolet,Tahoe LTZ,43998.0
125,16171118,2017,Chevrolet,Traverse LT,21998.0
126,16250130,2016,Chevrolet,Trax LS,14998.0
127,16421065,2015,Chevrolet,Volt,16599.0
128,16237594,2015,Chrysler,200 Limited,12998.0
129,16250208,2015,Chrysler,200 Limited,13998.0
130,16338495,2015,Chrysler,200 Limited,12599.0
131,15660943,2016,Dodge,Challenger R/T Scat Pack,35998.0
132,16257029,2013,Dodge,Dart Aero,18998.0
133,15915383,2010,Honda,Pilot EX,14998.0
134,16250561,2010,Hyundai,Elantra GLS,9998.0
