,price,year,mileage,drive_type,engine_size,num_cylinders,hp,comp_ratio,bore,stroke,values_per_cylinder,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,city_mpg,hw_mpg,luxury,black_interior,dark_exterior,light_exterior,prime_exterior,normal_engine,turbo_engine,alternate_engine
1539,16998.0,2018,12000,2,1.4,4,153,10.0,2.91,3.2,4.0,106.3,183.7,70.5,57.4,2930,42.0,38.9,5,22.7,29,40,0,1,0,1,0,0,1,0
1540,14599.0,2016,59000,2,1.4,4,153,10.0,2.91,3.2,4.0,106.3,183.7,70.0,57.0,2932,42.0,38.9,5,14.0,30,40,0,1,0,1,0,0,1,0
1541,18998.0,2015,43000,2,2.5,4,196,11.0,3.46,3.98,4.0,111.7,201.3,73.0,58.0,3730,45.8,39.9,5,19.0,22,31,0,1,0,0,1,1,0,0
1542,22998.0,2017,39000,2,3.6,6,305,11.5,3.7,3.37,4.0,111.7,201.3,73.0,58.9,3800,45.8,39.9,5,18.8,19,28,0,1,1,0,0,0,0,1
1543,16599.0,2015,46000,2,2.5,4,196,11.0,3.46,3.98,4.0,107.8,191.5,73.0,57.0,3439,42.1,39.0,5,16.0,25,36,0,0,1,0,0,1,0,0
1544,13998.0,2014,66000,2,2.5,4,197,11.0,3.46,3.98,4.0,107.8,191.5,73.0,57.0,3439,42.1,39.0,5,16.0,25,36,0,1,1,0,0,1,0,0
1545,12998.0,2011,44000,2,2.4,4,169,10.0,3.46,3.85,4.0,112.3,191.8,,57.0,3649,42.2,39.4,5,15.0,22,33,0,0,0,1,0,1,0,0
1546,14998.0,2008,84000,2,4.3,6,195,9.2,4.0,3.48,2.0,119.0,205.6,79.0,73.0,4453,41.3,41.5,3,,15,20,0,0,0,0,1,1,0,0
1547,9998.0,2015,27000,2,1.2,4,84,11.0,2.78,3.15,4.0,93.5,144.7,62.0,61.0,2269,42.0,39.4,4,11.0,31,39,0,1,0,1,0,1,0,0
1548,44998.0,2018,19000,2,5.3,8,355,11.0,3.78,3.62,2.0,116.0,204.0,80.5,74.4,5355,45.3,42.8,8,15.3,16,23,0,1,0,1,0,0,0,1
1549,41998.0,2015,36000,2,5.3,8,355,11.0,3.78,3.62,2.0,116.0,204.0,80.0,74.0,5467,45.3,42.8,8,15.0,16,23,0,0,0,1,0,0,0,1
1550,21998.0,2016,27000,2,3.6,6,281,11.0,3.7,3.37,4.0,118.9,203.7,78.0,69.0,4647,41.3,40.4,8,24.0,15,22,0,1,0,1,0,1,0,0
1551,19998.0,2014,74000,4,3.6,6,281,11.0,3.7,3.37,4.0,118.9,203.7,78.0,69.0,4844,41.3,40.4,8,24.0,16,23,0,1,1,0,0,1,0,0
1552,18599.0,2015,81000,2,3.6,6,281,11.0,3.7,3.37,4.0,118.9,203.7,78.0,69.0,4647,41.3,40.4,8,24.0,17,24,0,0,0,0,1,1,0,0
1553,21998.0,2016,29000,2,1.5,4,149,13.0,2.91,3.41,4.0,106.1,180.4,71.0,56.0,3786,42.1,37.8,5,11.0,43,42,0,1,0,0,1,0,0,1
1554,23998.0,2016,27000,2,1.5,4,149,13.0,2.91,3.41,4.0,106.1,180.4,71.0,56.0,3543,42.1,37.8,5,11.0,43,42,0,1,0,0,1,0,0,1
1555,14599.0,2015,36000,2,1.4,4,149,11.0,2.89,3.25,4.0,105.7,177.1,70.0,56.0,3786,42.1,37.8,4,11.0,35,40,0,1,0,1,0,0,0,1
1556,14998.0,2015,34000,2,1.4,4,149,11.0,2.89,3.25,4.0,105.7,177.1,70.0,56.0,3786,42.1,37.8,4,11.0,35,40,0,0,0,1,0,0,0,1
1557,16998.0,2015,23000,2,1.4,4,149,11.0,2.89,3.25,4.0,105.7,177.1,70.0,56.0,3786,42.1,37.8,4,11.0,35,40,0,1,1,0,0,0,0,1
1558,15998.0,2015,30000,2,1.4,4,149,11.0,2.89,3.25,4.0,105.7,177.1,70.0,56.0,3786,42.1,37.8,4,11.0,35,40,0,0,0,1,0,0,0,1
1559,15998.0,2015,33000,2,1.4,4,149,11.0,2.89,3.25,4.0,105.7,177.1,70.0,56.0,3786,42.1,37.8,4,11.0,35,40,0,0,0,0,1,0,0,1
1560,14998.0,2015,43000,2,1.4,4,149,11.0,2.89,3.25,4.0,105.7,177.1,70.0,56.0,3786,42.1,37.8,4,11.0,35,40,0,0,0,1,0,0,0,1
1561,14599.0,2013,40000,2,1.4,4,149,11.0,2.89,3.25,0.0,105.7,177.1,,56.0,3781,42.0,37.8,4,11.0,35,40,0,0,0,1,0,0,0,1
1562,14998.0,2014,59000,2,1.4,4,149,11.0,2.89,3.25,4.0,105.7,177.1,70.0,56.0,3786,42.1,37.8,4,11.0,35,40,0,1,1,0,0,0,0,1
1563,15599.0,2016,19000,2,2.4,4,184,10.0,3.46,3.82,4.0,108.0,192.3,73.0,58.0,3473,42.2,38.6,5,15.0,23,36,1,1,0,1,0,1,0,0
1564,11998.0,2012,18000,2,2.4,4,173,11.0,3.46,3.82,4.0,108.9,191.7,72.0,58.0,3402,42.4,40.1,5,14.0,20,31,1,1,0,0,1,1,0,0
1565,15998.0,2011,87000,2,3.6,6,292,10.0,3.89,3.27,0.0,120.2,196.8,,58.0,3803,41.8,38.6,5,16.0,18,27,1,0,0,1,0,0,0,1
1566,13599.0,2014,118000,2,3.6,6,300,10.0,3.78,3.27,4.0,120.2,198.6,75.0,58.0,4029,41.8,38.6,5,16.0,19,31,1,1,0,1,0,0,0,1
1567,15998.0,2014,50000,2,3.6,6,292,10.0,3.78,3.27,4.0,120.2,198.6,75.0,58.0,4029,41.8,38.6,5,16.0,19,31,1,1,0,1,0,0,0,1
1568,22998.0,2017,34000,2,3.6,6,287,11.3,3.78,3.27,4.0,121.6,203.6,79.6,69.9,4652,41.1,40.1,8,32.3,18,28,1,0,0,1,0,1,0,0
1569,22998.0,2017,36000,2,3.6,6,287,11.3,3.78,3.27,4.0,121.6,203.6,79.6,69.9,4652,41.1,40.1,8,32.3,18,28,1,1,0,1,0,1,0,0
1570,9998.0,2012,100000,2,2.4,4,173,11.0,3.46,3.82,4.0,108.9,192.6,72.0,58.0,3400,42.4,40.0,5,14.0,20,31,0,1,1,0,0,1,0,0
1571,30998.0,2016,33000,2,5.7,8,372,11.0,3.92,3.58,2.0,116.2,197.9,75.0,57.0,4082,42.0,39.3,5,16.0,15,23,0,1,0,0,1,1,0,0
1572,17998.0,2012,54000,2,3.6,6,305,10.0,3.78,3.27,4.0,116.0,197.7,,57.0,3834,42.0,39.3,5,16.0,18,27,0,1,0,1,0,0,0,1
1573,22998.0,2016,20000,2,3.6,6,305,10.0,3.78,3.27,4.0,116.2,197.9,75.0,57.0,3834,42.0,39.3,5,16.0,19,30,0,1,0,1,0,1,0,0
1574,22998.0,2016,22000,2,3.6,6,305,10.0,3.78,3.27,4.0,116.2,197.9,75.0,57.0,3834,42.0,39.3,5,16.0,19,30,0,1,0,0,1,1,0,0
1575,25998.0,2018,27000,2,5.7,8,370,10.5,3.92,3.58,2.0,120.2,198.4,75.0,58.2,4264,41.8,38.6,5,16.5,16,25,0,1,0,1,0,1,0,0
1576,15998.0,2014,64000,2,3.6,6,292,10.0,3.78,3.27,4.0,120.2,199.9,75.0,58.0,3961,41.8,38.6,5,17.0,18,27,0,1,0,1,0,1,0,0
1577,16998.0,2014,45000,2,3.6,6,292,10.0,3.78,3.27,4.0,120.2,199.9,75.0,58.0,3961,41.8,38.6,5,17.0,18,27,0,1,1,0,0,1,0,0
1578,17998.0,2015,70000,2,3.6,6,292,10.0,3.78,3.27,4.0,120.2,198.4,75.0,58.0,3996,41.8,38.6,5,17.0,19,31,0,1,1,0,0,0,0,1
1579,11998.0,2015,69000,2,2.4,4,184,10.0,3.46,3.82,4.0,106.4,183.9,72.0,57.0,3297,42.2,38.6,5,13.0,23,35,0,1,0,1,0,1,0,0
1580,23998.0,2013,88000,2,5.7,8,360,11.0,3.92,3.58,2.0,119.8,199.8,75.0,70.0,5133,40.3,39.9,7,85.0,14,20,0,1,0,1,0,1,0,0
1581,13998.0,2011,62000,2,3.6,6,283,10.0,3.78,3.27,0.0,121.2,202.5,76.0,68.0,4483,40.7,39.8,7,144.0,17,25,0,1,0,1,0,0,0,1
1582,15599.0,2015,55000,2,3.6,6,283,10.0,3.78,3.27,4.0,121.2,202.8,78.0,68.0,4510,40.7,39.8,7,33.0,17,25,0,1,0,1,0,0,0,1
1583,18998.0,2016,49000,2,3.6,6,283,10.0,3.78,3.27,4.0,121.2,202.8,78.0,68.0,4510,40.7,39.8,7,33.0,17,25,0,1,0,1,0,0,0,1
1584,17998.0,2017,32000,2,3.6,6,283,10.5,3.78,3.19,4.0,113.8,192.4,72.2,66.6,3818,40.8,40.8,7,39.6,17,25,0,1,0,1,0,0,0,1
1585,25998.0,2016,18000,4,3.6,6,305,10.0,3.66,3.41,4.0,140.5,229.0,79.0,75.0,5313,41.0,41.0,6,,16,23,0,0,1,0,0,0,0,1
1586,26998.0,2016,24000,4,3.6,6,305,10.0,3.66,3.41,4.0,140.5,229.0,79.0,75.0,5313,41.0,41.0,6,,16,23,0,0,0,1,0,0,0,1
1587,35998.0,2016,26000,4,5.7,8,395,10.0,3.92,3.58,2.0,140.5,229.0,79.0,75.0,5596,41.0,41.0,6,,15,21,0,1,0,0,1,1,0,0
1588,18998.0,2011,93000,2,5.7,8,390,9.8,3.92,3.58,2.0,140.5,229.0,,75.0,5017,41.0,41.0,6,,14,20,0,0,0,1,0,1,0,0
1589,35998.0,2016,30000,4,6.4,8,410,11.0,4.09,3.72,2.0,149.5,237.4,79.0,77.0,6632,41.0,41.0,6,,10,15,0,0,0,1,0,1,0,0
1590,12599.0,2013,45000,2,1.4,4,101,11.0,2.83,3.31,4.0,90.6,139.6,64.0,59.0,2363,40.7,38.9,4,10.0,27,34,0,0,0,1,0,1,0,0
1591,9998.0,2015,40000,2,1.4,4,101,11.0,2.83,3.31,4.0,90.6,139.6,64.0,59.0,2363,40.7,38.9,4,10.0,31,40,0,1,0,0,1,1,0,0
1592,9599.0,2012,58000,2,1.4,4,101,11.0,2.83,3.31,4.0,90.6,139.6,64.0,59.0,2350,40.7,38.9,4,10.0,27,34,0,1,0,0,1,1,0,0
1593,10599.0,2015,33000,2,1.4,4,101,11.0,2.83,3.31,4.0,90.6,139.6,64.0,59.0,2363,40.7,38.9,4,10.0,31,40,0,0,0,0,1,1,0,0
1594,8998.0,2014,56000,2,1.4,4,101,11.0,2.83,3.31,4.0,90.6,139.6,64.0,59.0,2363,40.7,38.9,4,10.0,31,40,0,1,0,1,0,1,0,0
1595,15998.0,2016,27000,4,2.4,4,180,10.0,3.46,3.82,4.0,101.2,167.2,70.0,63.0,2967,41.4,39.1,5,19.0,21,29,0,1,0,1,0,1,0,0
1596,14998.0,2016,42000,2,2.4,4,180,10.0,3.46,3.82,4.0,101.2,167.2,70.0,63.0,2967,41.4,39.1,5,19.0,22,30,0,1,1,0,0,1,0,0
1597,14599.0,2016,39000,2,2.0,4,188,12.0,3.44,3.27,4.0,104.3,173.6,72.0,63.0,3607,40.4,41.0,5,19.0,41,36,0,0,0,1,0,0,0,1
1598,15998.0,2015,29000,2,2.0,4,188,12.0,3.44,3.27,4.0,104.3,173.6,72.0,63.0,3899,43.1,41.0,5,19.0,40,36,0,1,1,0,0,0,0,1
1599,12998.0,2013,120000,2,3.5,6,285,10.0,3.6,3.4,4.0,111.2,184.2,76.0,67.0,4056,40.7,40.0,5,69.0,19,27,0,1,0,1,0,1,0,0
1600,18998.0,2015,32000,2,2.0,4,245,9.7,3.4,2.51,4.0,112.2,188.1,75.0,68.0,4056,42.6,40.2,5,39.0,20,30,0,1,0,1,0,0,1,0
1601,13998.0,2011,88000,2,3.5,6,285,11.0,3.6,3.4,4.0,111.2,184.2,76.0,67.0,4082,40.7,40.0,5,69.0,19,26,0,1,0,0,1,1,0,0
1602,19998.0,2014,31000,2,2.0,4,240,10.0,3.41,3.3,4.0,111.2,184.2,76.0,67.0,4056,40.7,40.0,5,32.0,21,30,0,0,0,0,1,0,1,0
1603,22998.0,2015,42000,2,3.5,6,280,9.7,3.6,3.4,4.0,112.2,188.1,75.0,68.0,4056,42.6,40.2,5,39.0,18,26,0,0,0,0,1,1,0,0
1604,17998.0,2017,12000,2,2.5,4,168,9.7,3.5,3.94,4.0,105.9,178.1,72.4,66.3,3552,43.1,39.9,5,34.0,21,29,0,1,1,0,0,0,0,1
1605,16998.0,2015,27000,2,2.0,4,240,10.0,3.44,3.27,4.0,105.9,178.1,72.0,66.0,3502,43.1,39.9,5,34.0,22,30,0,0,1,0,0,1,0,0
1606,15998.0,2014,42000,2,2.0,4,240,10.0,3.44,3.27,4.0,105.9,178.1,72.0,66.0,3515,43.1,39.9,5,34.0,22,30,0,0,0,1,0,1,0,0
1607,15998.0,2015,44000,2,1.6,4,178,10.0,3.11,3.2,4.0,105.9,178.1,72.0,66.0,3502,43.1,39.9,5,34.0,23,32,0,0,1,0,0,0,1,0
1608,16998.0,2016,36000,2,1.6,4,178,10.0,3.11,3.2,4.0,105.9,178.1,72.0,66.0,3492,43.1,39.9,5,34.0,23,31,0,0,0,0,1,0,1,0
1609,40998.0,2017,17000,4,3.5,6,365,10.0,3.64,3.41,4.0,112.8,198.3,78.9,71.0,4901,42.9,41.4,7,21.0,16,22,0,1,1,0,0,0,1,0
1610,24998.0,2015,53000,4,3.5,6,290,11.0,3.64,3.41,4.0,112.6,197.1,78.0,71.0,4697,43.1,41.4,7,21.0,17,23,0,0,1,0,0,0,0,1
